candidateId,decoderId,foldId,capture,rootAccuracy,majorMinorAccuracy,detailedAccuracy,fragmentationRate,regionsPerMinute,predictedRegionCount,meanAbsoluteBoundaryErrorMs,medianAbsoluteBoundaryErrorMs,meanSignedBoundaryErrorMs,boundariesWithin100ms,boundariesWithin250ms,boundariesWithin500ms,boundariesWithin1000ms,abaCount,flickerCount,stateSwitchPrecision,stateSwitchRecall,stateSwitchF1
full-v2-control,full-v2-existing,lopo-p01,audio_mono-mic,0.6955,0.6483,0.6409,0.6403,21.006,640,672.5,472.0,-55.5,0.3288,0.5212,0.6985,0.8000,69,1,0.5931,0.5212,0.5548
full-v2-control,full-v2-existing,lopo-p01,audio_mono-pickup_mix,0.7201,0.6711,0.6622,0.6569,21.629,659,511.8,363.6,11.2,0.3470,0.5727,0.7318,0.8288,67,0,0.6311,0.5727,0.6005
full-v2-control,full-v2-existing,lopo-p02,audio_mono-mic,0.7755,0.7320,0.7255,0.6792,22.811,695,330.1,169.7,-13.0,0.4909,0.7091,0.8379,0.8924,77,0,0.7370,0.7091,0.7228
full-v2-control,full-v2-existing,lopo-p02,audio_mono-pickup_mix,0.7451,0.7074,0.6978,0.6708,22.614,689,403.3,231.8,53.7,0.4439,0.6758,0.8030,0.8788,76,1,0.7091,0.6758,0.6920
full-v2-control,full-v2-existing,lopo-p03,audio_mono-mic,0.8104,0.7736,0.7689,0.6861,22.614,689,301.9,197.7,49.9,0.4970,0.7273,0.8485,0.9076,70,3,0.7631,0.7273,0.7448
full-v2-control,full-v2-existing,lopo-p03,audio_mono-pickup_mix,0.8091,0.7696,0.7647,0.6986,23.238,708,283.8,171.9,25.6,0.5091,0.7318,0.8591,0.9182,80,3,0.7454,0.7318,0.7385
full-v2-control,full-v2-existing,lopo-p04,audio_mono-mic,0.7675,0.7276,0.7227,0.7000,23.139,705,356.0,200.2,32.5,0.4894,0.7167,0.8212,0.8864,83,1,0.7333,0.7167,0.7249
full-v2-control,full-v2-existing,lopo-p04,audio_mono-pickup_mix,0.7633,0.7239,0.7161,0.7167,23.435,714,335.4,191.5,23.4,0.4773,0.7136,0.8333,0.9000,80,2,0.7202,0.7136,0.7169
full-v2-control,full-v2-existing,lopo-p05,audio_mono-mic,0.7335,0.6893,0.6826,0.6542,21.465,654,487.3,310.6,-8.1,0.3440,0.5394,0.7197,0.8197,76,0,0.5993,0.5394,0.5678
full-v2-control,full-v2-existing,lopo-p05,audio_mono-pickup_mix,0.7339,0.6909,0.6845,0.6514,21.170,645,518.9,350.1,-15.6,0.3424,0.5318,0.7091,0.8030,72,0,0.6000,0.5318,0.5639
full-v2-control,segmental-full,lopo-p01,audio_mono-mic,0.7053,0.6612,0.6555,0.6056,19.660,599,681.2,451.5,-30.0,0.4045,0.5939,0.6970,0.7667,76,0,0.7273,0.5939,0.6539
full-v2-control,segmental-full,lopo-p01,audio_mono-pickup_mix,0.7259,0.6826,0.6748,0.6083,20.054,611,622.0,408.8,-21.7,0.4167,0.6242,0.7136,0.7788,68,0,0.7477,0.6242,0.6804
full-v2-control,segmental-full,lopo-p02,audio_mono-mic,0.7776,0.7367,0.7305,0.6583,21.662,660,373.4,189.5,-1.2,0.5333,0.7591,0.8333,0.8636,82,0,0.8350,0.7591,0.7952
full-v2-control,segmental-full,lopo-p02,audio_mono-pickup_mix,0.7528,0.7124,0.7027,0.6708,21.794,664,396.6,220.9,1.8,0.5015,0.7394,0.8197,0.8606,73,0,0.8079,0.7394,0.7722
full-v2-control,segmental-full,lopo-p03,audio_mono-mic,0.8099,0.7755,0.7719,0.6681,21.597,658,325.6,162.6,-35.7,0.5470,0.7712,0.8379,0.8758,80,1,0.8512,0.7712,0.8092
full-v2-control,segmental-full,lopo-p03,audio_mono-pickup_mix,0.8075,0.7699,0.7647,0.6722,21.826,665,332.3,186.5,4.4,0.5530,0.7742,0.8439,0.8818,79,2,0.8446,0.7742,0.8079
full-v2-control,segmental-full,lopo-p04,audio_mono-mic,0.7699,0.7301,0.7258,0.6764,21.465,654,427.3,206.0,20.7,0.5197,0.7500,0.8136,0.8485,79,2,0.8333,0.7500,0.7895
full-v2-control,segmental-full,lopo-p04,audio_mono-pickup_mix,0.7683,0.7277,0.7217,0.6722,21.695,661,404.7,212.9,-9.6,0.5106,0.7455,0.8167,0.8561,77,2,0.8186,0.7455,0.7803
full-v2-control,segmental-full,lopo-p05,audio_mono-mic,0.7286,0.6870,0.6826,0.6347,19.529,595,587.3,432.0,-34.9,0.4136,0.6121,0.7045,0.7636,69,1,0.7551,0.6121,0.6762
full-v2-control,segmental-full,lopo-p05,audio_mono-pickup_mix,0.7310,0.6849,0.6804,0.6167,19.266,587,622.8,435.0,-19.0,0.4015,0.5970,0.6924,0.7455,69,1,0.7476,0.5970,0.6639
calibrated-boundary,full-v2-existing,lopo-p01,audio_mono-mic,0.6955,0.6483,0.6409,0.6403,21.006,640,672.5,472.0,-55.5,0.3288,0.5212,0.6985,0.8000,69,1,0.5931,0.5212,0.5548
calibrated-boundary,full-v2-existing,lopo-p01,audio_mono-pickup_mix,0.7201,0.6711,0.6622,0.6569,21.629,659,511.8,363.6,11.2,0.3470,0.5727,0.7318,0.8288,67,0,0.6311,0.5727,0.6005
calibrated-boundary,full-v2-existing,lopo-p02,audio_mono-mic,0.7755,0.7320,0.7255,0.6792,22.811,695,330.1,169.7,-13.0,0.4909,0.7091,0.8379,0.8924,77,0,0.7370,0.7091,0.7228
calibrated-boundary,full-v2-existing,lopo-p02,audio_mono-pickup_mix,0.7451,0.7074,0.6978,0.6708,22.614,689,403.3,231.8,53.7,0.4439,0.6758,0.8030,0.8788,76,1,0.7091,0.6758,0.6920
calibrated-boundary,full-v2-existing,lopo-p03,audio_mono-mic,0.8104,0.7736,0.7689,0.6861,22.614,689,301.9,197.7,49.9,0.4970,0.7273,0.8485,0.9076,70,3,0.7631,0.7273,0.7448
calibrated-boundary,full-v2-existing,lopo-p03,audio_mono-pickup_mix,0.8091,0.7696,0.7647,0.6986,23.238,708,283.8,171.9,25.6,0.5091,0.7318,0.8591,0.9182,80,3,0.7454,0.7318,0.7385
calibrated-boundary,full-v2-existing,lopo-p04,audio_mono-mic,0.7675,0.7276,0.7227,0.7000,23.139,705,356.0,200.2,32.5,0.4894,0.7167,0.8212,0.8864,83,1,0.7333,0.7167,0.7249
calibrated-boundary,full-v2-existing,lopo-p04,audio_mono-pickup_mix,0.7633,0.7239,0.7161,0.7167,23.435,714,335.4,191.5,23.4,0.4773,0.7136,0.8333,0.9000,80,2,0.7202,0.7136,0.7169
calibrated-boundary,full-v2-existing,lopo-p05,audio_mono-mic,0.7335,0.6893,0.6826,0.6542,21.465,654,487.3,310.6,-8.1,0.3440,0.5394,0.7197,0.8197,76,0,0.5993,0.5394,0.5678
calibrated-boundary,full-v2-existing,lopo-p05,audio_mono-pickup_mix,0.7339,0.6909,0.6845,0.6514,21.170,645,518.9,350.1,-15.6,0.3424,0.5318,0.7091,0.8030,72,0,0.6000,0.5318,0.5639
calibrated-boundary,segmental-full,lopo-p01,audio_mono-mic,0.7039,0.6599,0.6543,0.6014,19.562,596,674.0,434.7,-23.2,0.4061,0.6015,0.6970,0.7652,77,0,0.7407,0.6015,0.6639
