candidateId,foldId,capture,rootAccuracy,detailedAccuracy,fragmentationRate,regionsPerMinute,predictedRegionCount,meanAbsoluteBoundaryErrorMs,flickerCount,boundaryF1At250ms,stateSwitchPrecision,stateSwitchRecall
full-v2-existing,lopo-p01,audio_mono-mic,0.6955,0.6409,0.6403,21.006,640,672.5,1,0.5402,0.5931,0.5212
full-v2-existing,lopo-p01,audio_mono-pickup_mix,0.7201,0.6622,0.6569,21.629,659,511.8,0,0.5865,0.6311,0.5727
full-v2-existing,lopo-p02,audio_mono-mic,0.7755,0.7255,0.6792,22.811,695,330.1,0,0.7216,0.7370,0.7091
full-v2-existing,lopo-p02,audio_mono-pickup_mix,0.7451,0.6978,0.6708,22.614,689,403.3,1,0.6897,0.7091,0.6758
full-v2-existing,lopo-p03,audio_mono-mic,0.8104,0.7689,0.6861,22.614,689,301.9,3,0.7403,0.7631,0.7273
full-v2-existing,lopo-p03,audio_mono-pickup_mix,0.8091,0.7647,0.6986,23.238,708,283.8,3,0.7370,0.7454,0.7318
full-v2-existing,lopo-p04,audio_mono-mic,0.7675,0.7227,0.7000,23.139,705,356.0,1,0.7244,0.7333,0.7167
full-v2-existing,lopo-p04,audio_mono-pickup_mix,0.7633,0.7161,0.7167,23.435,714,335.4,2,0.7171,0.7202,0.7136
full-v2-existing,lopo-p05,audio_mono-mic,0.7335,0.6826,0.6542,21.465,654,487.3,0,0.5597,0.5993,0.5394
full-v2-existing,lopo-p05,audio_mono-pickup_mix,0.7339,0.6845,0.6514,21.170,645,518.9,0,0.5516,0.6000,0.5318
duration-viterbi,lopo-p01,audio_mono-mic,0.6928,0.6382,0.6139,20.317,619,749.8,2,0.5646,0.6369,0.5394
duration-viterbi,lopo-p01,audio_mono-pickup_mix,0.7218,0.6673,0.6333,20.973,639,552.5,1,0.5937,0.6546,0.5742
duration-viterbi,lopo-p02,audio_mono-mic,0.7746,0.7273,0.6778,22.548,687,355.1,2,0.7382,0.7608,0.7227
duration-viterbi,lopo-p02,audio_mono-pickup_mix,0.7447,0.6974,0.6764,22.614,689,399.1,2,0.7084,0.7266,0.6924
duration-viterbi,lopo-p03,audio_mono-mic,0.8099,0.7684,0.6833,22.450,684,321.2,2,0.7455,0.7724,0.7303
duration-viterbi,lopo-p03,audio_mono-pickup_mix,0.8061,0.7605,0.6819,22.581,688,326.9,2,0.7656,0.7882,0.7500
duration-viterbi,lopo-p04,audio_mono-mic,0.7649,0.7195,0.6833,22.384,682,404.5,1,0.7305,0.7572,0.7136
duration-viterbi,lopo-p04,audio_mono-pickup_mix,0.7632,0.7145,0.6972,23.008,701,365.0,1,0.7250,0.7363,0.7152
duration-viterbi,lopo-p05,audio_mono-mic,0.7328,0.6822,0.6569,20.907,637,529.8,2,0.5959,0.6516,0.5697
duration-viterbi,lopo-p05,audio_mono-pickup_mix,0.7297,0.6797,0.6458,20.645,629,546.6,2,0.5917,0.6520,0.5621
boundary-gated-viterbi,lopo-p01,audio_mono-mic,0.7112,0.6536,0.6458,21.925,668,592.6,1,0.6532,0.6957,0.6409
boundary-gated-viterbi,lopo-p01,audio_mono-pickup_mix,0.7359,0.6794,0.6583,22.155,675,438.5,0,0.6924,0.7268,0.6773
boundary-gated-viterbi,lopo-p02,audio_mono-mic,0.7820,0.7348,0.6875,23.533,717,317.4,4,0.7923,0.7915,0.7879
boundary-gated-viterbi,lopo-p02,audio_mono-pickup_mix,0.7545,0.7064,0.7111,23.763,724,313.8,5,0.7757,0.7681,0.7727
boundary-gated-viterbi,lopo-p03,audio_mono-mic,0.8189,0.7774,0.7014,23.566,718,240.5,4,0.8067,0.8070,0.8045
boundary-gated-viterbi,lopo-p03,audio_mono-pickup_mix,0.8143,0.7686,0.7042,23.467,715,257.2,3,0.8134,0.8168,0.8106
boundary-gated-viterbi,lopo-p04,audio_mono-mic,0.7782,0.7298,0.7139,23.533,717,338.7,1,0.7773,0.7793,0.7758
boundary-gated-viterbi,lopo-p04,audio_mono-pickup_mix,0.7737,0.7260,0.7236,23.960,730,311.4,3,0.7756,0.7687,0.7803
boundary-gated-viterbi,lopo-p05,audio_mono-mic,0.7514,0.6971,0.6889,21.826,665,426.0,1,0.6810,0.7174,0.6576
boundary-gated-viterbi,lopo-p05,audio_mono-pickup_mix,0.7466,0.6958,0.6764,22.155,675,447.2,2,0.6730,0.7057,0.6576
duration-boundary-viterbi,lopo-p01,audio_mono-mic,0.7115,0.6547,0.6403,21.432,653,607.3,0,0.6526,0.7049,0.6333
duration-boundary-viterbi,lopo-p01,audio_mono-pickup_mix,0.7352,0.6784,0.6569,21.892,667,440.4,0,0.6951,0.7364,0.6773
duration-boundary-viterbi,lopo-p02,audio_mono-mic,0.7816,0.7348,0.6792,22.942,699,322.4,2,0.7952,0.8075,0.7818
duration-boundary-viterbi,lopo-p02,audio_mono-pickup_mix,0.7529,0.7042,0.7028,23.205,707,316.6,4,0.7803,0.7852,0.7697
duration-boundary-viterbi,lopo-p03,audio_mono-mic,0.8190,0.7777,0.6986,23.238,708,244.6,3,0.8093,0.8164,0.8015
duration-boundary-viterbi,lopo-p03,audio_mono-pickup_mix,0.8148,0.7686,0.6972,23.074,703,257.6,2,0.8149,0.8274,0.8061
duration-boundary-viterbi,lopo-p04,audio_mono-mic,0.7761,0.7284,0.7056,22.942,699,342.7,0,0.7821,0.7966,0.7712
duration-boundary-viterbi,lopo-p04,audio_mono-pickup_mix,0.7735,0.7252,0.7167,23.599,719,315.0,2,0.7715,0.7724,0.7712
duration-boundary-viterbi,lopo-p05,audio_mono-mic,0.7481,0.6954,0.6889,21.761,663,423.2,1,0.6829,0.7214,0.6591
duration-boundary-viterbi,lopo-p05,audio_mono-pickup_mix,0.7461,0.6958,0.6722,21.695,661,455.6,1,0.6722,0.7155,0.6515
semi-markov-chord,lopo-p01,audio_mono-mic,0.6956,0.6433,0.6000,19.398,591,726.4,1,0.5676,0.6629,0.5333
semi-markov-chord,lopo-p01,audio_mono-pickup_mix,0.7099,0.6560,0.6111,19.923,607,704.9,1,0.5771,0.6636,0.5500
semi-markov-chord,lopo-p02,audio_mono-mic,0.7697,0.7210,0.6597,21.432,653,409.0,0,0.7274,0.7791,0.7000
semi-markov-chord,lopo-p02,audio_mono-pickup_mix,0.7396,0.6899,0.6528,21.334,650,462.0,1,0.6965,0.7475,0.6682
semi-markov-chord,lopo-p03,audio_mono-mic,0.8007,0.7603,0.6722,21.728,662,345.4,1,0.7446,0.7890,0.7197
semi-markov-chord,lopo-p03,audio_mono-pickup_mix,0.7965,0.7526,0.6653,21.662,660,365.5,2,0.7584,0.8033,0.7303
semi-markov-chord,lopo-p04,audio_mono-mic,0.7609,0.7163,0.6611,21.334,650,451.1,2,0.7305,0.7831,0.7000
semi-markov-chord,lopo-p04,audio_mono-pickup_mix,0.7596,0.7145,0.6722,21.728,662,423.6,2,0.7286,0.7708,0.7030
semi-markov-chord,lopo-p05,audio_mono-mic,0.7186,0.6719,0.6153,19.299,588,664.8,1,0.5784,0.6723,0.5379
semi-markov-chord,lopo-p05,audio_mono-pickup_mix,0.7218,0.6705,0.6069,19.135,583,668.3,1,0.5750,0.6711,0.5318
semi-markov-chord-boundary,lopo-p01,audio_mono-mic,0.7074,0.6546,0.6181,20.382,621,634.6,0,0.6441,0.7184,0.6106
semi-markov-chord-boundary,lopo-p01,audio_mono-pickup_mix,0.7271,0.6730,0.6222,20.579,627,590.1,0,0.6699,0.7460,0.6409
semi-markov-chord-boundary,lopo-p02,audio_mono-mic,0.7789,0.7305,0.6653,22.023,671,344.9,0,0.7961,0.8331,0.7712
semi-markov-chord-boundary,lopo-p02,audio_mono-pickup_mix,0.7526,0.7027,0.6736,21.958,669,384.0,0,0.7681,0.8046,0.7424
semi-markov-chord-boundary,lopo-p03,audio_mono-mic,0.8119,0.7737,0.6750,22.122,674,293.0,1,0.8072,0.8453,0.7864
semi-markov-chord-boundary,lopo-p03,audio_mono-pickup_mix,0.8099,0.7667,0.6806,22.286,679,305.7,2,0.8043,0.8368,0.7848
semi-markov-chord-boundary,lopo-p04,audio_mono-mic,0.7706,0.7249,0.6889,21.958,669,377.1,2,0.7890,0.8292,0.7652
semi-markov-chord-boundary,lopo-p04,audio_mono-pickup_mix,0.7682,0.7205,0.6889,22.319,680,370.0,2,0.7774,0.8081,0.7591
semi-markov-chord-boundary,lopo-p05,audio_mono-mic,0.7388,0.6893,0.6597,20.579,627,504.2,1,0.6719,0.7390,0.6348
semi-markov-chord-boundary,lopo-p05,audio_mono-pickup_mix,0.7354,0.6846,0.6333,19.988,609,569.4,1,0.6577,0.7413,0.6167
